time,direction,order_id,price,symbol
2025-12-09 20:05:03.569897,BUY,0,0.0,EURUSD
2025-12-09 20:05:04.579307,BUY,0,0.0,EURUSD
2025-12-09 20:05:05.589555,BUY,0,0.0,EURUSD
2025-12-09 20:05:06.600241,BUY,0,0.0,EURUSD
2025-12-09 20:05:07.610602,BUY,0,0.0,EURUSD
2025-12-09 20:05:08.619420,BUY,0,0.0,EURUSD
2025-12-09 20:05:09.627021,BUY,0,0.0,EURUSD
2025-12-09 20:05:10.632505,BUY,0,0.0,EURUSD
2025-12-09 20:05:11.644767,BUY,0,0.0,EURUSD
2025-12-09 20:05:12.650602,BUY,0,0.0,EURUSD
2025-12-09 20:05:13.664927,BUY,0,0.0,EURUSD
2025-12-09 20:05:14.677348,BUY,0,0.0,EURUSD
2025-12-09 20:05:15.695027,BUY,0,0.0,EURUSD
2025-12-09 20:05:16.732855,BUY,0,0.0,EURUSD
2025-12-09 20:05:17.747937,BUY,0,0.0,EURUSD
2025-12-09 20:05:18.763105,BUY,0,0.0,EURUSD
2025-12-09 20:05:19.777716,BUY,0,0.0,EURUSD
2025-12-09 20:05:20.793733,BUY,0,0.0,EURUSD
2025-12-09 20:05:21.810046,BUY,0,0.0,EURUSD
2025-12-09 20:05:22.824415,BUY,0,0.0,EURUSD
2025-12-09 20:05:23.836077,BUY,0,0.0,EURUSD
2025-12-09 20:05:24.847380,BUY,0,0.0,EURUSD
2025-12-09 20:05:25.858189,BUY,0,0.0,EURUSD
2025-12-09 20:05:26.868581,BUY,0,0.0,EURUSD
2025-12-09 20:05:27.879665,BUY,0,0.0,EURUSD
2025-12-09 20:05:28.894351,BUY,0,0.0,EURUSD
2025-12-09 20:12:58.624643,CALL,1.1636,1.16346,-10,2025-12-09 20:12:58.599342
2025-12-09 20:15:06.526241,PUT,1.16329,1.16355,-10,2025-12-09 20:15:06.482814
2025-12-10 07:12:12.029619,CALL,1.16271,1.16249,-10,2025-12-10 07:12:11.990009
2025-12-10 07:12:13.632291,CALL,1.16269,1.16249,-10,2025-12-10 07:12:13.612542
2025-12-10 07:19:03.420086,CALL,1.16284,1.16259,-10,2025-12-10 07:19:03.396738
2025-12-10 07:19:04.243324,CALL,1.16284,1.16259,-10,2025-12-10 07:19:04.221683
2025-12-10 07:19:05.118995,CALL,1.16284,1.16259,-10,2025-12-10 07:19:05.070619
2025-12-10 07:19:05.917094,CALL,1.16284,1.16259,-10,2025-12-10 07:19:05.894166
2025-12-10 07:19:06.769764,CALL,1.16284,1.16259,-10,2025-12-10 07:19:06.755235
2025-12-10 07:19:07.613289,CALL,1.16284,1.16259,-10,2025-12-10 07:19:07.594293
2025-12-10 07:19:08.480211,CALL,1.16284,1.16259,-10,2025-12-10 07:19:08.438682
2025-12-10 07:19:09.316310,CALL,1.16284,1.16259,-10,2025-12-10 07:19:09.303624
2025-12-10 07:19:10.248970,CALL,1.16284,1.1626,-10,2025-12-10 07:19:10.228321
2025-12-10 07:19:11.154340,CALL,1.16284,1.1626,-10,2025-12-10 07:19:11.139
2025-12-10 07:19:12.045578,CALL,1.16284,1.1626,-10,2025-12-10 07:19:12.028835
2025-12-10 07:19:12.924259,CALL,1.16284,1.1626,-10,2025-12-10 07:19:12.912826
2025-12-10 07:19:13.983098,CALL,1.16284,1.16253,-10,2025-12-10 07:19:13.956758
